Rank	Model	Arena Score	95% CI	# Votes	Generation Speed (RTF)	organization	training_data	supports_lyrics	access
1	lyria-3-pro-preview	1255	±101	50	3.75	Google DeepMind	Unspecified	True	Proprietary
2	riffusion-fuzz-1-0	1247	±69	220	9.04	Producer.ai	Unspecified	True	Proprietary
3	riffusion-fuzz-1-1	1142	±44	452	6.3	Producer.ai	Unspecified	True	Proprietary
4	elevenlabs-music-v1	1121	±56	211	2.02	ElevenLabs	Licensed	True	Proprietary
5	sonauto-v2-2	1087	±47	275	2.81	Sonauto	Unspecified	True	Proprietary
6	lyria-3-30s	1028	±72	85	3.22	Google DeepMind	Unspecified	True	Proprietary
7	sonauto-v3-preview	972	±96	41	1.0	Sonauto	Unspecified	True	Proprietary
8	acestep-1.5-turbo-1.7b	962	±71	84	2.4	ACE Studio / StepFun	Unspecified	True	Open weights
9	magenta-rt-large	938	±28	629	1.05	Google DeepMind	Stock	False	Open weights
10	musicgen-medium	871	±36	372	0.45	Meta	Stock	False	Open weights
11	sao	861	±29	691	2.62	Stability AI	Open	False	Open weights
12	musicgen-small	814	±35	463	0.87	Meta	Stock	False	Open weights
13	sao-small	702	±43	435	14.51	Stability AI	Open	False	Open weights
